,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,c_Cloud_3vs9,c_Humidity_3vs9,Location_Humidity3pm,c_Location_Humidity3pm,c_Location_RainToday_Yes,PROB
19,8.5,17.3,0.0,0.0,0.0,ESE,13.0,NNE,E,6.0,7.0,100.0,70.0,1020.9,1019.5,7.0,1.0,10.7,16.7,No,0.14,0.7,54.26086956521739,1.29,0.266,0.2891566265060241
20,6.2,16.8,0.4,0.0,0.0,W,15.0,W,NNE,11.0,7.0,100.0,96.0,1020.1,1015.6,8.0,8.0,10.0,13.8,No,1.0,0.96,54.26086956521739,1.77,0.266,0.5209580838323353
21,9.9,18.2,6.8,0.0,0.0,NNW,56.0,NNW,W,31.0,22.0,92.0,99.0,1003.6,999.5,8.0,8.0,16.8,12.7,Yes,1.0,1.08,54.26086956521739,1.82,0.266,0.9321739130434783
22,7.1,10.8,24.2,0.0,0.0,WNW,63.0,W,SW,24.0,28.0,82.0,67.0,1005.2,1009.8,8.0,8.0,8.5,8.4,Yes,1.0,0.82,54.26086956521739,1.23,0.266,0.6853146853146853
23,-0.2,10.1,0.6,0.0,0.0,WNW,28.0,NE,N,9.0,13.0,86.0,77.0,1015.5,1010.7,0.0,8.0,4.7,8.7,No,0.0,0.9,54.26086956521739,1.42,0.266,0.437125748502994
24,4.7,11.5,12.0,0.0,0.0,NNW,56.0,WNW,WNW,15.0,19.0,89.0,87.0,1013.5,1012.2,8.0,8.0,7.7,10.4,Yes,1.0,0.98,54.26086956521739,1.6,0.266,0.9321739130434783
25,4.5,11.3,4.0,0.0,0.0,WNW,39.0,NW,NNW,15.0,20.0,85.0,72.0,1017.4,1014.4,6.0,8.0,6.9,9.7,Yes,1.33,0.85,54.26086956521739,1.33,0.266,0.3674698795180723
26,6.9,12.6,10.6,0.0,0.0,NW,39.0,WNW,WNW,17.0,24.0,90.0,82.0,1013.7,1017.3,5.0,6.0,9.5,11.5,Yes,1.2,0.91,54.26086956521739,1.51,0.266,0.640074211502783
27,5.9,10.8,0.0,0.0,0.0,W,22.0,WNW,WNW,9.0,11.0,85.0,79.0,1027.6,1026.1,7.0,8.0,8.1,10.5,No,1.14,0.93,54.26086956521739,1.46,0.266,0.334841628959276
30,8.0,14.3,2.2,0.0,0.0,N,22.0,E,NE,7.0,9.0,93.0,76.0,1019.4,1017.4,8.0,8.0,9.7,13.7,Yes,1.0,0.82,54.26086956521739,1.4,0.266,0.3674698795180723
31,9.6,11.8,3.8,0.0,0.0,N,33.0,0,N,0.0,22.0,100.0,92.0,1017.0,1012.3,8.0,6.0,10.6,11.5,Yes,0.75,0.92,54.26086956521739,1.7,0.266,0.8609271523178808
42,0.7,11.6,0.0,0.0,0.0,NW,19.0,0,WNW,0.0,13.0,100.0,58.0,1025.6,1021.8,1.0,8.0,4.7,11.0,No,8.0,0.58,54.26086956521739,1.07,0.266,0.22767857142857142
47,6.0,18.0,0.0,0.0,0.0,NE,22.0,0,NNE,0.0,15.0,92.0,65.0,1024.8,1022.6,1.0,7.0,10.6,17.3,No,7.0,0.71,54.26086956521739,1.2,0.266,0.22767857142857142
49,9.3,16.4,0.0,0.0,0.0,NNE,52.0,NNE,NNW,30.0,24.0,58.0,80.0,1012.9,1009.7,8.0,7.0,15.0,13.2,No,0.88,1.38,54.26086956521739,1.47,0.266,0.8018018018018018
50,5.3,12.0,11.0,0.0,0.0,WNW,43.0,WNW,NW,15.0,20.0,86.0,66.0,1016.1,1015.2,8.0,7.0,7.1,11.7,Yes,0.88,0.77,54.26086956521739,1.22,0.266,0.3869047619047619
52,8.4,13.9,0.2,0.0,0.0,SE,31.0,ESE,WSW,11.0,19.0,91.0,79.0,1016.8,1013.9,5.0,8.0,9.5,10.6,No,1.6,0.87,54.26086956521739,1.46,0.266,0.5
54,2.6,12.2,0.0,0.0,0.0,WSW,13.0,SE,SW,6.0,9.0,79.0,71.0,1014.8,1011.0,0.0,8.0,8.4,11.9,No,0.0,0.9,54.26086956521739,1.31,0.266,0.31519274376417233
58,2.1,16.9,0.0,0.0,0.0,N,24.0,E,NW,4.0,13.0,89.0,57.0,1024.8,1021.5,7.0,8.0,8.5,16.2,No,1.14,0.64,54.26086956521739,1.05,0.266,0.22767857142857142
61,10.6,18.4,22.0,0.0,0.0,N,43.0,W,W,15.0,20.0,100.0,66.0,1015.9,1015.4,7.0,6.0,13.9,16.7,Yes,0.86,0.66,54.26086956521739,1.22,0.266,0.6138613861386139
62,8.5,16.7,0.4,0.0,0.0,NNE,17.0,0,NW,0.0,11.0,96.0,65.0,1020.0,1016.1,8.0,7.0,12.3,15.8,No,0.88,0.68,54.26086956521739,1.2,0.266,0.22767857142857142
63,6.1,13.9,0.2,0.0,0.0,SSE,37.0,S,E,6.0,7.0,87.0,76.0,1012.1,1005.6,0.0,8.0,10.1,13.5,No,0.0,0.87,54.26086956521739,1.4,0.266,0.437125748502994
64,9.6,16.6,33.6,0.0,0.0,WNW,48.0,W,W,15.0,31.0,90.0,60.0,1003.4,1008.8,6.0,1.0,11.4,15.1,Yes,0.17,0.67,54.26086956521739,1.11,0.266,0.6853146853146853
69,8.1,20.3,0.0,0.0,0.0,NNE,33.0,ESE,NNE,7.0,17.0,94.0,63.0,1027.2,1021.3,8.0,8.0,12.6,20.1,No,1.0,0.67,54.26086956521739,1.16,0.266,0.22767857142857142
70,12.6,17.8,4.0,0.0,0.0,N,50.0,NNE,NE,20.0,20.0,86.0,91.0,1014.8,1009.8,8.0,8.0,15.1,15.7,Yes,1.0,1.06,54.26086956521739,1.68,0.266,0.9321739130434783
71,11.2,17.7,17.0,0.0,0.0,W,43.0,W,W,24.0,26.0,91.0,67.0,1012.4,1013.7,8.0,8.0,12.2,16.5,Yes,1.0,0.74,54.26086956521739,1.23,0.266,0.6138613861386139
72,3.7,14.9,0.2,0.0,0.0,W,22.0,ENE,NNW,6.0,13.0,81.0,71.0,1021.0,1019.1,0.0,8.0,10.7,13.9,No,0.0,0.88,54.26086956521739,1.31,0.266,0.22767857142857142
76,8.3,13.6,10.8,0.0,0.0,NNW,39.0,W,NW,17.0,22.0,88.0,72.0,1008.5,1011.0,8.0,7.0,10.0,12.8,Yes,0.88,0.82,54.26086956521739,1.33,0.266,0.640074211502783
78,4.4,18.2,0.6,0.0,0.0,NNE,26.0,NE,NE,2.0,15.0,86.0,60.0,1022.6,1017.6,0.0,8.0,9.7,17.0,No,0.0,0.7,54.26086956521739,1.11,0.266,0.22767857142857142
79,7.1,13.8,1.2,0.0,0.0,SSE,24.0,SE,SSE,6.0,13.0,98.0,94.0,1010.7,1005.9,7.0,8.0,10.7,12.9,Yes,1.14,0.96,54.26086956521739,1.73,0.266,0.8609271523178808
82,9.8,16.2,12.8,0.0,0.0,NE,31.0,ESE,ENE,11.0,9.0,96.0,72.0,1009.3,1005.3,8.0,8.0,11.3,15.8,Yes,1.0,0.75,54.26086956521739,1.33,0.266,0.640074211502783
83,9.3,18.8,0.0,0.0,0.0,W,39.0,W,W,24.0,28.0,76.0,61.0,1012.3,1011.5,0.0,4.0,13.2,17.6,No,0.0,0.8,54.26086956521739,1.12,0.266,0.3865546218487395
85,8.3,20.5,0.0,0.0,0.0,N,31.0,ESE,WNW,7.0,17.0,83.0,45.0,1012.3,1008.2,6.0,4.0,14.1,20.2,No,0.67,0.54,54.26086956521739,0.83,0.266,0.2354948805460751
86,11.0,17.5,3.0,0.0,0.0,W,39.0,0,W,0.0,28.0,96.0,55.0,1008.9,1009.5,8.0,0.0,12.4,16.7,Yes,0.0,0.57,54.26086956521739,1.01,0.266,0.22748815165876776
90,11.1,14.8,20.6,0.0,0.0,WNW,56.0,NNW,N,9.0,24.0,89.0,59.0,993.7,993.1,8.0,8.0,11.8,13.9,Yes,1.0,0.66,54.26086956521739,1.09,0.266,0.6853146853146853
91,8.4,13.7,16.2,0.0,0.0,WNW,48.0,S,WNW,2.0,31.0,98.0,84.0,992.9,995.7,8.0,8.0,9.8,11.9,Yes,1.0,0.86,54.26086956521739,1.55,0.266,0.8609271523178808
92,9.2,14.9,9.0,0.0,0.0,WNW,46.0,WNW,NW,17.0,20.0,98.0,78.0,1006.2,1007.7,8.0,8.0,11.0,13.5,Yes,1.0,0.8,54.26086956521739,1.44,0.266,0.640074211502783
93,5.9,21.7,0.8,0.0,0.0,NNE,46.0,SE,N,9.0,26.0,86.0,48.0,1012.3,1005.9,0.0,0.0,11.8,21.2,No,0.0,0.56,54.26086956521739,0.88,0.266,0.3586206896551724
94,10.8,15.1,12.4,0.0,0.0,NW,59.0,NW,NW,24.0,35.0,76.0,59.0,1000.3,1000.5,1.0,3.0,11.8,13.9,Yes,3.0,0.78,54.26086956521739,1.09,0.266,0.6853146853146853
95,8.3,15.0,8.6,0.0,0.0,WSW,67.0,NNW,NW,20.0,33.0,90.0,86.0,1006.9,1002.4,8.0,8.0,9.2,12.9,Yes,1.0,0.96,54.26086956521739,1.58,0.266,0.8609271523178808
96,3.5,15.7,7.8,0.0,0.0,WNW,39.0,NNE,W,6.0,22.0,78.0,64.0,1018.3,1017.6,2.0,6.0,8.6,14.2,Yes,3.0,0.82,54.26086956521739,1.18,0.266,0.3869047619047619
100,8.3,20.9,0.0,0.0,0.0,ENE,44.0,ESE,NE,7.0,24.0,76.0,59.0,1019.1,1012.0,0.0,0.0,11.5,18.7,No,0.0,0.78,54.26086956521739,1.09,0.266,0.3865546218487395
101,9.6,14.8,6.6,0.0,0.0,WNW,43.0,NNW,NW,9.0,20.0,89.0,75.0,1012.2,1010.6,8.0,0.0,9.9,14.0,Yes,0.0,0.84,54.26086956521739,1.38,0.266,0.640074211502783
108,9.7,17.6,9.6,0.0,0.0,W,39.0,W,W,19.0,22.0,85.0,49.0,1008.7,1009.9,8.0,3.0,10.8,17.0,Yes,0.38,0.58,54.26086956521739,0.9,0.266,0.22748815165876776
109,10.1,16.4,0.8,0.0,0.0,NNW,46.0,NNW,WSW,13.0,22.0,82.0,76.0,1012.8,1011.6,8.0,8.0,11.3,14.7,No,1.0,0.93,54.26086956521739,1.4,0.266,0.437125748502994
112,7.4,23.7,0.0,0.0,0.0,WSW,46.0,SE,NNE,9.0,15.0,75.0,48.0,1015.8,1010.9,0.0,0.0,13.3,22.9,No,0.0,0.64,54.26086956521739,0.88,0.266,0.3586206896551724
121,14.7,24.3,0.0,0.0,0.0,W,69.0,N,N,28.0,20.0,64.0,68.0,1005.9,1003.5,1.0,8.0,21.9,20.6,No,8.0,1.06,54.26086956521739,1.25,0.266,0.6691176470588235
126,7.6,28.2,0.0,0.0,0.0,W,52.0,ENE,WNW,6.0,28.0,70.0,27.0,1015.6,1009.2,0.0,1.0,15.5,27.3,No,0.0,0.39,54.26086956521739,0.5,0.266,0.3586206896551724
129,8.8,29.4,0.0,0.0,0.0,NNW,50.0,SSE,NNW,4.0,31.0,70.0,22.0,1010.3,1003.7,0.0,3.0,15.8,28.2,No,0.0,0.31,54.26086956521739,0.41,0.266,0.3586206896551724
131,9.7,25.9,0.0,0.0,0.0,WNW,31.0,ESE,W,9.0,15.0,73.0,31.0,1011.5,1007.3,0.0,0.0,17.8,25.3,No,0.0,0.42,54.26086956521739,0.57,0.266,0.35514018691588783
132,9.9,24.4,0.0,0.0,0.0,W,48.0,ENE,WSW,2.0,26.0,67.0,36.0,1009.8,1008.6,0.0,1.0,17.6,23.5,No,0.0,0.54,54.26086956521739,0.66,0.266,0.3586206896551724
133,7.7,26.9,0.0,0.0,0.0,E,24.0,ESE,NNW,9.0,6.0,67.0,35.0,1011.9,1007.7,0.0,0.0,16.0,26.5,No,0.0,0.52,54.26086956521739,0.65,0.266,0.35514018691588783
134,14.1,27.1,8.0,0.0,0.0,WNW,54.0,0,W,0.0,26.0,87.0,38.0,1001.3,998.1,8.0,1.0,17.4,26.6,Yes,0.12,0.44,54.26086956521739,0.7,0.266,0.5357142857142857
135,11.7,16.0,1.8,0.0,0.0,WNW,56.0,WNW,WNW,19.0,22.0,87.0,88.0,999.4,997.5,8.0,6.0,13.0,12.3,Yes,0.75,1.01,54.26086956521739,1.62,0.266,0.9321739130434783
145,14.3,21.6,19.2,0.0,0.0,WSW,50.0,WNW,WSW,9.0,28.0,98.0,44.0,1011.8,1010.3,8.0,7.0,14.5,20.2,Yes,0.88,0.45,54.26086956521739,0.81,0.266,0.5357142857142857
158,19.8,26.1,0.0,0.0,0.0,NW,31.0,NNW,WNW,9.0,20.0,72.0,35.0,1011.7,1010.8,0.0,1.0,22.1,24.0,No,0.0,0.49,54.26086956521739,0.65,0.266,0.35514018691588783
160,11.5,29.7,0.0,0.0,0.0,WNW,63.0,SSE,W,6.0,39.0,51.0,86.0,1003.3,1000.5,0.0,8.0,21.7,16.4,No,0.0,1.69,54.26086956521739,1.58,0.266,0.9321739130434783
168,16.0,22.7,5.2,0.0,0.0,NNE,22.0,SSE,NE,7.0,11.0,93.0,66.0,1010.7,1007.8,5.0,8.0,17.3,21.6,Yes,1.6,0.71,54.26086956521739,1.22,0.266,0.3484848484848485
179,20.9,31.5,2.0,0.0,0.0,SE,37.0,SE,SE,17.0,22.0,88.0,55.0,1012.6,1009.6,0.0,0.0,21.9,28.3,Yes,0.0,0.62,54.26086956521739,1.01,0.266,0.22748815165876776
181,22.0,27.7,3.8,0.0,0.0,E,28.0,SE,E,6.0,15.0,93.0,66.0,1007.4,1005.5,0.0,0.0,22.9,26.7,Yes,0.0,0.71,54.26086956521739,1.22,0.266,0.3484848484848485
182,22.8,32.1,3.2,0.0,0.0,W,65.0,N,NW,20.0,28.0,85.0,62.0,1002.5,999.2,0.0,0.0,24.3,30.6,Yes,0.0,0.73,54.26086956521739,1.14,0.266,0.6853146853146853
188,3.6,16.1,4.2,0.0,0.0,NW,30.0,NNW,WSW,2.0,4.0,100.0,83.0,1011.7,1006.1,0.0,0.0,7.8,14.9,Yes,0.0,0.83,48.08383233532934,1.73,0.156,0.640074211502783
189,6.9,17.3,0.2,0.0,0.0,W,57.0,N,WSW,7.0,24.0,56.0,56.0,1004.1,1003.7,0.0,0.0,13.6,15.2,No,0.0,1.0,48.08383233532934,1.16,0.156,0.36585365853658536
190,12.4,18.1,0.4,0.0,0.0,SW,46.0,SW,SSW,17.0,17.0,94.0,75.0,1016.2,1017.0,0.0,0.0,13.8,15.9,No,0.0,0.8,48.08383233532934,1.56,0.156,0.437125748502994
191,11.2,16.5,1.4,0.0,0.0,S,20.0,SW,NE,9.0,2.0,97.0,96.0,1020.4,1018.7,0.0,0.0,12.5,14.0,Yes,0.0,0.99,48.08383233532934,2.0,0.156,0.8900523560209425
192,7.8,17.8,1.6,0.0,0.0,WSW,19.0,SW,S,9.0,2.0,88.0,74.0,1023.6,1022.5,0.0,0.0,12.2,14.9,Yes,0.0,0.84,48.08383233532934,1.54,0.156,0.334841628959276
193,8.5,18.8,0.4,0.0,0.0,NE,22.0,SW,NNE,9.0,13.0,100.0,64.0,1025.2,1020.6,0.0,0.0,13.2,17.6,No,0.0,0.64,48.08383233532934,1.33,0.156,0.2891566265060241
194,9.6,19.9,0.0,0.0,0.0,NW,63.0,N,N,9.0,26.0,96.0,54.0,1014.6,1010.2,0.0,0.0,12.4,19.2,No,0.0,0.56,48.08383233532934,1.12,0.156,0.6691176470588235
203,13.0,16.4,19.0,0.0,0.0,S,28.0,SSW,WSW,11.0,7.0,100.0,100.0,1020.3,1018.7,0.0,0.0,15.6,15.9,Yes,0.0,1.0,48.08383233532934,2.08,0.156,0.8900523560209425
204,11.7,19.9,13.2,0.0,0.0,SW,19.0,SW,SE,9.0,6.0,98.0,76.0,1020.1,1015.6,0.0,0.0,15.0,18.6,Yes,0.0,0.78,48.08383233532934,1.58,0.156,0.3674698795180723
205,8.0,25.7,0.0,0.0,0.0,NW,57.0,N,NW,15.0,31.0,100.0,51.0,1008.6,1001.2,0.0,0.0,15.1,24.8,No,0.0,0.51,48.08383233532934,1.06,0.156,0.36585365853658536
206,13.1,17.1,3.2,0.0,0.0,W,65.0,WNW,W,31.0,31.0,45.0,36.0,1003.9,1004.2,0.0,0.0,13.8,16.1,Yes,0.0,0.8,48.08383233532934,0.75,0.156,0.21656050955414013
215,7.0,15.9,0.0,0.0,0.0,W,11.0,SSE,0,2.0,0.0,81.0,77.0,1017.5,1012.9,0.0,0.0,12.3,14.9,No,0.0,0.95,48.08383233532934,1.6,0.156,0.437125748502994
216,7.8,14.0,0.2,0.0,0.0,S,37.0,SSE,SW,6.0,13.0,100.0,100.0,1014.0,1014.8,0.0,0.0,11.9,9.5,No,0.0,1.0,48.08383233532934,2.08,0.156,0.6296296296296297
217,8.7,14.8,16.6,0.0,0.0,SSW,46.0,SSW,S,20.0,19.0,83.0,66.0,1018.8,1018.7,0.0,0.0,11.2,14.0,Yes,0.0,0.8,48.08383233532934,1.37,0.156,0.3869047619047619
218,9.8,16.5,0.0,0.0,0.0,S,44.0,SSW,SSW,24.0,22.0,85.0,67.0,1024.9,1025.7,0.0,0.0,11.0,14.0,No,0.0,0.79,48.08383233532934,1.39,0.156,0.2396694214876033
219,7.8,16.3,3.2,0.0,0.0,SW,26.0,SW,SSE,13.0,11.0,82.0,70.0,1031.0,1028.2,0.0,0.0,11.8,14.5,Yes,0.0,0.85,48.08383233532934,1.46,0.156,0.22330097087378642
236,4.5,13.6,0.0,0.0,0.0,N,46.0,WSW,WNW,6.0,9.0,75.0,90.0,1017.1,1015.2,0.0,0.0,11.5,9.8,No,0.0,1.2,48.08383233532934,1.87,0.156,0.6990291262135923
238,10.0,12.4,0.0,0.0,0.0,WSW,41.0,S,SSW,4.0,19.0,95.0,100.0,1014.1,1007.7,0.0,0.0,11.2,11.7,No,0.0,1.05,48.08383233532934,2.08,0.156,0.6990291262135923
247,12.6,16.6,10.0,0.0,0.0,SW,17.0,SSW,WSW,4.0,2.0,100.0,100.0,1011.7,1006.0,0.0,0.0,13.4,14.6,Yes,0.0,1.0,48.08383233532934,2.08,0.156,0.8900523560209425
248,12.6,19.4,21.4,0.0,0.0,WNW,50.0,WNW,W,31.0,15.0,63.0,57.0,998.5,1005.7,0.0,0.0,16.4,18.0,Yes,0.0,0.9,48.08383233532934,1.19,0.156,0.21568627450980393
255,12.2,21.2,3.8,0.0,0.0,WNW,48.0,NNE,W,19.0,24.0,73.0,46.0,1012.3,1011.2,0.0,0.0,16.7,20.5,Yes,0.0,0.63,48.08383233532934,0.96,0.156,0.21656050955414013
259,13.9,23.8,2.2,0.0,0.0,N,30.0,0,NNW,0.0,6.0,100.0,70.0,1013.7,1008.2,0.0,0.0,15.2,22.2,Yes,0.0,0.7,48.08383233532934,1.46,0.156,0.3484848484848485
263,9.6,16.6,0.0,0.0,0.0,WSW,19.0,SW,ENE,6.0,9.0,89.0,100.0,1012.5,1005.1,0.0,0.0,13.2,12.7,No,0.0,1.12,48.08383233532934,2.08,0.156,0.6990291262135923
266,10.8,19.3,0.0,0.0,0.0,NNE,24.0,NNW,N,4.0,15.0,73.0,86.0,1012.3,1007.2,0.0,0.0,15.6,15.6,No,0.0,1.18,48.08383233532934,1.79,0.156,0.6990291262135923
267,7.7,19.8,1.2,0.0,0.0,WSW,48.0,NW,WSW,2.0,31.0,69.0,56.0,1007.1,1006.3,0.0,0.0,17.6,17.9,Yes,0.0,0.81,48.08383233532934,1.16,0.156,0.21568627450980393
268,12.4,21.8,0.0,0.0,0.0,SW,54.0,SW,S,28.0,19.0,59.0,52.0,1012.0,1010.2,0.0,0.0,18.3,21.5,No,0.0,0.88,48.08383233532934,1.08,0.156,0.36585365853658536
270,12.3,22.4,0.0,0.0,0.0,WSW,43.0,N,SW,7.0,17.0,82.0,51.0,1006.6,1005.6,0.0,0.0,15.4,20.8,No,0.0,0.62,48.08383233532934,1.06,0.156,0.36585365853658536
274,6.1,21.1,3.2,0.0,0.0,NW,65.0,0,N,0.0,15.0,99.0,56.0,1000.5,993.1,0.0,0.0,10.4,20.7,Yes,0.0,0.57,48.08383233532934,1.16,0.156,0.21568627450980393
285,9.8,32.1,0.0,0.0,0.0,NW,57.0,SSW,WNW,6.0,30.0,76.0,34.0,1007.5,1004.7,0.0,0.0,17.4,31.2,No,0.0,0.45,48.08383233532934,0.71,0.156,0.3586206896551724
292,17.1,19.5,0.0,0.0,0.0,WNW,44.0,WSW,NE,17.0,4.0,62.0,83.0,1006.1,1007.5,0.0,0.0,18.1,15.5,No,0.0,1.34,48.08383233532934,1.73,0.156,0.7218543046357616
293,4.7,25.6,1.4,0.0,0.0,WNW,50.0,NE,WNW,7.0,28.0,66.0,31.0,1014.5,1011.1,0.0,0.0,15.2,24.2,Yes,0.0,0.47,48.08383233532934,0.64,0.156,0.21656050955414013
297,15.6,20.6,8.8,0.0,0.0,WSW,50.0,WSW,SSW,6.0,17.0,100.0,55.0,1010.1,1009.5,0.0,0.0,16.4,18.6,Yes,0.0,0.55,48.08383233532934,1.14,0.156,0.21568627450980393
302,9.6,25.4,0.0,0.0,0.0,E,35.0,SW,ESE,6.0,19.0,68.0,67.0,1016.0,1015.2,0.0,0.0,19.2,19.6,No,0.0,0.99,48.08383233532934,1.39,0.156,0.2891566265060241
303,12.1,19.3,1.4,0.0,0.0,SSW,22.0,SW,W,15.0,4.0,98.0,71.0,1020.9,1018.4,0.0,0.0,13.7,17.8,Yes,0.0,0.72,48.08383233532934,1.48,0.156,0.3484848484848485
305,15.6,28.1,0.0,0.0,0.0,WSW,44.0,NNE,N,13.0,26.0,79.0,51.0,1013.6,1005.4,0.0,0.0,21.7,27.4,No,0.0,0.65,48.08383233532934,1.06,0.156,0.36585365853658536
311,13.9,25.3,0.0,0.0,0.0,WSW,59.0,WSW,W,31.0,31.0,19.0,20.0,1004.0,1006.4,0.0,0.0,23.5,24.4,No,0.0,1.05,48.08383233532934,0.42,0.156,0.2184873949579832
315,16.3,23.6,1.6,0.0,0.0,E,28.0,SE,ESE,6.0,15.0,84.0,79.0,1013.1,1009.3,0.0,0.0,19.2,19.4,Yes,0.0,0.94,48.08383233532934,1.64,0.156,0.7218543046357616
316,13.3,30.3,1.6,0.0,0.0,ESE,28.0,W,SSW,2.0,17.0,89.0,31.0,1009.5,1005.6,0.0,0.0,18.6,29.2,Yes,0.0,0.35,48.08383233532934,0.64,0.156,0.22748815165876776
318,17.0,35.7,5.4,0.0,0.0,WNW,59.0,N,W,15.0,11.0,89.0,34.0,1002.2,996.5,0.0,0.0,20.1,34.6,Yes,0.0,0.38,48.08383233532934,0.71,0.156,0.21656050955414013
319,12.5,29.9,0.0,0.0,0.0,NW,74.0,S,WNW,4.0,37.0,40.0,22.0,998.5,996.5,0.0,0.0,23.8,27.0,No,0.0,0.55,48.08383233532934,0.46,0.156,0.2184873949579832
320,15.4,27.0,0.0,0.0,0.0,S,56.0,SW,SE,22.0,20.0,47.0,50.0,1002.2,1004.0,0.0,0.0,20.9,21.2,No,0.0,1.06,48.08383233532934,1.04,0.156,0.36585365853658536
339,11.9,37.8,0.0,0.0,0.0,SW,54.0,N,NW,7.0,17.0,67.0,26.0,1010.4,1004.1,0.0,0.0,20.3,36.2,No,0.0,0.39,48.08383233532934,0.54,0.156,0.3586206896551724
345,17.1,34.5,0.0,0.0,0.0,S,52.0,NNE,ESE,2.0,4.0,72.0,81.0,1014.6,1010.1,0.0,0.0,24.1,25.0,No,0.0,1.12,48.08383233532934,1.68,0.156,0.8018018018018018
355,6.3,10.2,1.2,0.0,0.0,W,43.0,NW,W,15.0,20.0,93.0,82.0,1012.3,1012.9,8.0,8.0,8.7,8.1,Yes,1.0,0.88,26.245714285714286,3.12,0.206,0.5
356,7.2,10.9,2.9,0.0,0.0,W,39.0,W,W,22.0,24.0,87.0,83.0,1017.6,1017.2,7.0,8.0,7.6,9.6,Yes,1.14,0.95,26.245714285714286,3.16,0.206,0.3674698795180723
357,7.6,13.6,0.0,0.0,0.0,SW,31.0,SW,SW,13.0,11.0,84.0,73.0,1020.4,1018.8,7.0,4.0,9.8,13.2,No,0.57,0.87,26.245714285714286,2.78,0.206,0.334841628959276
359,4.2,13.3,0.0,0.0,0.0,ESE,17.0,S,SE,9.0,7.0,97.0,66.0,1024.8,1022.0,8.0,8.0,8.3,13.3,No,1.0,0.68,26.245714285714286,2.51,0.206,0.22767857142857142
369,14.1,20.8,0.0,3.0,0.0,NNE,33.0,ENE,NE,9.0,7.0,82.0,89.0,1022.3,1019.9,8.0,8.0,17.6,19.5,No,1.0,1.09,26.245714285714286,3.39,0.206,0.87248322147651
370,16.8,18.5,19.8,0.8,0.0,E,28.0,NNW,ENE,13.0,11.0,98.0,90.0,1019.2,1018.4,7.0,8.0,18.1,17.6,Yes,1.14,0.92,26.245714285714286,3.43,0.206,0.7237569060773481
